,zip_code,prefectures_kana,municipalities_kana,town_area_kana,prefectures_kanji,municipalities_kanji,town_area_kanji,point_location,area_location_northeast,area_location_southwest
0,7800054,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｲｵｲﾁﾖｳ,高知県,高知市,相生町,"33.5648591, 133.5459739","33.56595428029149, 133.5476424","33.56325631970849, 133.544137"
1,7810813,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｵﾔｷﾞﾁﾖｳ,高知県,高知市,青柳町,"33.5547442, 133.564556","33.5570852, 133.5682737","33.5529293, 133.5617682"
2,7800936,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｶｲｼﾁﾖｳ,高知県,高知市,赤石町,"33.5574023, 133.5111074","33.5586183802915, 133.5126741","33.5559204197085, 133.5093669"
3,7808072,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｹﾎﾞﾉﾁﾖｳ,高知県,高知市,曙町,"33.5503258, 133.4915594","33.5533685, 133.495873","33.5474215, 133.4835391"
4,7808061,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗｺｳ,高知県,高知市,朝倉甲,"33.5408795, 133.497575","33.54600480000001, 133.5039983","33.53837960000001, 133.4849284"
5,7808062,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗｵﾂ,高知県,高知市,朝倉乙,"33.5507157, 133.4844901","33.551202, 133.4860524302915","33.5459621, 133.4833544697085"
6,7808063,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗﾍｲ,高知県,高知市,朝倉丙,"33.5517308, 133.4851953","33.5530797802915, 133.4865442802915","33.55038181970851, 133.4838463197085"
7,7808064,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗﾃｲ,高知県,高知市,朝倉丁,"33.5456608, 133.4801277","33.5510638, 133.4850964","33.540899, 133.4714596"
8,7808065,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗﾎﾞ,高知県,高知市,朝倉戊,"33.5304947, 133.477119","33.54036019999999, 133.491601","33.5254574, 133.4740161"
9,7808066,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗｷ,高知県,高知市,朝倉己,"33.5305314, 133.4861447","33.5388891, 133.4977525","33.524047, 133.476088"
10,7808077,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗﾆｼﾏﾁ,高知県,高知市,朝倉西町,"33.539893, 133.4777208","33.5448509, 133.4856059","33.5364895, 133.4749881"
11,7808076,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗﾋｶﾞｼﾏﾁ,高知県,高知市,朝倉東町,"33.5454245, 133.497575","33.5487954, 133.5008534","33.5421488, 133.4948526"
12,7808075,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗﾐﾅﾐﾏﾁ,高知県,高知市,朝倉南町,"33.542304, 133.4936649","33.5440764, 133.4966944","33.5404032, 133.4911089"
13,7808074,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗﾖｺﾏﾁ,高知県,高知市,朝倉横町,"33.5452549, 133.4927626","33.5482491, 133.4963451","33.5434078, 133.4897632"
14,7808073,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻｸﾗﾎﾝﾏﾁ,高知県,高知市,朝倉本町,"33.5468321, 133.4891529","33.5496357, 133.4949869","33.5444019, 133.484473"
15,7800938,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻﾋｴｷﾏｴﾁﾖｳ,高知県,高知市,旭駅前町,"33.5573182, 133.5087019","33.5591811, 133.5101839802915","33.5560264, 133.5074860197085"
16,7800943,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻﾋｶﾐﾏﾁ,高知県,高知市,旭上町,"33.5565055, 133.5037402","33.5581715802915, 133.5059156","33.5554736197085, 133.5020487"
17,7800955,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻﾋﾃﾝｼﾞﾝﾁﾖｳ,高知県,高知市,旭天神町,"33.5604475, 133.5047927","33.5640528, 133.507829","33.55741830000001, 133.5018899"
18,7800935,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｻﾋﾏﾁ,高知県,高知市,旭町,"33.5556563, 133.5099047","33.5576406, 133.5163735","33.5545393, 133.5023828"
19,7810010,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｿﾞｳﾉ,高知県,高知市,薊野,"33.5919376, 133.553485","33.601397, 133.562099","33.5842617, 133.5448127"
20,7810013,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｿﾞｳﾉﾅｶﾏﾁ,高知県,高知市,薊野中町,"33.5799198, 133.5588923","33.5833286, 133.5626437","33.5769534, 133.5561263"
21,7810012,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｿﾞｳﾉﾋｶﾞｼﾏﾁ,高知県,高知市,薊野東町,"33.5825764, 133.5618961","33.5846948, 133.5668892","33.5796402, 133.5601547"
22,7810015,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｿﾞｳﾉﾆｼﾏﾁ,高知県,高知市,薊野西町,"33.5763908, 133.5524468","33.5789062, 133.5573357","33.5741008, 133.5475681"
23,7810014,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｿﾞｳﾉﾐﾅﾐﾏﾁ,高知県,高知市,薊野南町,"33.5765965, 133.5612954","33.57916790000001, 133.5646146","33.574413, 133.5559427"
24,7810011,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱｿﾞｳﾉｷﾀﾏﾁ,高知県,高知市,薊野北町,"33.5811949, 133.5546867","33.58750029999999, 133.5608381","33.5783001, 133.5473375"
25,7800051,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱﾀｺﾞﾏﾁ,高知県,高知市,愛宕町,"33.5712294, 133.5372596","33.5754161, 133.540164","33.565021, 133.5349395"
26,7800025,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱﾀｺﾞﾔﾏ,高知県,高知市,愛宕山,"33.57690669999999, 133.5372596","33.5788954, 133.5402555","33.5743649, 133.5347238"
27,7800027,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｱﾀｺﾞﾔﾏﾐﾅﾐﾏﾁ,高知県,高知市,愛宕山南町,"33.5735833, 133.5396637","33.5753488, 133.5432433","33.5723356, 133.5381134"
28,7800921,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｲｸﾞﾁﾁﾖｳ,高知県,高知市,井口町,"33.5587061, 133.515918","33.5600904, 133.5186637","33.557037, 133.5133428"
29,7810111,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｲｹ,高知県,高知市,池,"33.5296836, 133.591924","33.5374406, 133.6022153","33.521345, 133.5773785"
30,7808038,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｲｼﾀﾃﾁﾖｳ,高知県,高知市,石立町,"33.553442, 133.5156174","33.5550792, 133.5189043","33.55149919999999, 133.5099055"
31,7800064,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｲｽﾞﾐﾁﾖｳ,高知県,高知市,和泉町,"33.5715061, 133.5411662","33.57304338029149, 133.5440351","33.5703454197085, 133.5382622"
32,7800046,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｲｾｻﾞｷﾁﾖｳ,高知県,高知市,伊勢崎町,"33.5705647, 133.5303471","33.5720595, 133.5321679","33.5688637, 133.5282095"
33,7818130,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｲﾂｸ,高知県,高知市,一宮,"33.5995627, 133.5775129","33.606795, 133.5898864","33.5841814, 133.559966"
34,7818131,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｲﾂｸｼﾅﾈ,高知県,高知市,一宮しなね,"33.5921461, 133.5763118","33.5953529, 133.5805879","33.5882495, 133.5706582"
35,7818133,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｲﾂｸﾄｸﾀﾞﾆ,高知県,高知市,一宮徳谷,"33.5821768, 133.5835181","33.5869738, 133.5872116","33.5787742, 133.5763589"
36,7818134,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｲﾂｸﾅｶﾏﾁ,高知県,高知市,一宮中町,"33.5829038, 133.571507","33.5891531, 133.5778951","33.5805188, 133.5681995"
37,7818136,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｲﾂｸﾆｼﾏﾁ,高知県,高知市,一宮西町,"33.5884969, 133.5691045","33.59258, 133.5743074","33.581, 133.5609179"
38,7818132,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｲﾂｸﾋｶﾞｼﾏﾁ,高知県,高知市,一宮東町,"33.5900391, 133.5811161","33.5946663, 133.5868574","33.5791957, 133.5739307"
39,7818135,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｲﾂｸﾐﾅﾐﾏﾁ,高知県,高知市,一宮南町,"33.5785043, 133.5673025","33.58248440000001, 133.5763261","33.5733161, 133.5624529"
40,7810814,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｲﾅﾘﾁﾖｳ,高知県,高知市,稲荷町,"33.5561617, 133.5612954","33.5576957, 133.5645527","33.5539615, 133.5573906"
41,7800041,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｲﾘｱｹﾁﾖｳ,高知県,高知市,入明町,"33.566327, 133.5309483","33.56746858029151, 133.5326294","33.56477061970851, 133.5296301"
42,7800948,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｲﾜｶﾞﾌﾞﾁ,高知県,高知市,岩ケ淵,"33.5592463, 133.4867464","33.5633544, 133.4906098","33.5555017, 133.4840692"
43,7808083,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｳｸﾞﾙｽ,高知県,高知市,鵜来巣,"33.5408699, 133.4852422","33.542987, 133.4880656","33.5394245, 133.4822872"
44,7818008,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｳｼｵｼﾝﾏﾁ,高知県,高知市,潮新町,"33.5506789, 133.5504807","33.5537193, 133.5533383","33.5477938, 133.546618"
45,7800031,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｳﾂﾉ,高知県,高知市,宇津野,"33.586407, 133.5246361","33.5946581, 133.5323997","33.5803824, 133.5184702"
46,7808011,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｳﾒﾉﾂｼﾞ,高知県,高知市,梅ノ辻,"33.5549717, 133.5432696","33.5564643, 133.5451274","33.5526423, 133.5406677"
47,7810262,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｳﾗﾄﾞ,高知県,高知市,浦戸,"33.4976637, 133.5691045","33.5015137, 133.5921358","33.4914965, 133.5545911"
48,7800844,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｴｲｺｸｼﾞﾁﾖｳ,高知県,高知市,永国寺町,"33.5639175, 133.5351559","33.5650630302915, 133.537201","33.56236506970851, 133.5333005"
49,7800053,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｴｷﾏｴﾁﾖｳ,高知県,高知市,駅前町,"33.5647762, 133.5435701","33.5663850302915, 133.5448671802915","33.5636870697085, 133.5421692197085"
50,7800928,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｴﾁｾﾞﾝﾏﾁ,高知県,高知市,越前町,"33.5622542, 133.5240349","33.5635085, 133.5270403","33.5585151, 133.5227535"
51,7810086,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｴﾋﾞﾉﾏﾙ,高知県,高知市,海老ノ丸,"33.5637474, 133.5673025","33.5648642, 133.5698186","33.56188, 133.5640116"
52,7800974,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｴﾝｷﾞﾖｳｼﾞ,高知県,高知市,円行寺,"33.5869605, 133.5077998","33.6027118, 133.5199713","33.5783303, 133.4975282"
53,7800842,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｵｳﾃｽｼﾞ,高知県,高知市,追手筋,"33.5615356, 133.5360575","33.5631414, 133.5425738","33.5596128, 133.5336694"
54,7800052,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｵｵｶﾜｽｼﾞ,高知県,高知市,大川筋,"33.5650947, 133.536358","33.5661655802915, 133.5427857","33.5634676197085, 133.5305998"
55,7800947,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｵｵﾀﾆ,高知県,高知市,大谷,"33.5583639, 133.4939657","33.561579, 133.497165","33.5558068, 133.4904243"
56,7808085,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｵｵﾀﾆｺｳｴﾝﾁﾖｳ,高知県,高知市,大谷公園町,"33.5357377, 133.4807295","33.539007, 133.4830931","33.5326086, 133.4782152"
57,7815102,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｵｵﾂｺｳ,高知県,高知市,大津甲,"33.5763419, 133.6123326","33.5808399, 133.6255471","33.5675129, 133.604902"
58,7815103,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｵｵﾂｵﾂ,高知県,高知市,大津乙,"33.57054610000001, 133.591924","33.579839, 133.6079631","33.5614191, 133.5762919"
59,7808031,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｵｵﾊﾗﾁﾖｳ,高知県,高知市,大原町,"33.5528092, 133.5300466","33.5551654, 133.536987","33.5504897, 133.526042"
60,7810801,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｵｸﾗﾁﾖｳ,高知県,高知市,小倉町,"33.5592065, 133.5673025","33.5622682, 133.5694763","33.5571091, 133.5652098"
61,7800915,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｵﾂﾞﾁﾖｳ,高知県,高知市,小津町,"33.5646926, 133.5288443","33.5671942, 133.531128","33.5624443, 133.5269005"
62,7800841,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｵﾋﾞﾔﾏﾁ,高知県,高知市,帯屋町,"33.5606772, 133.5399642","33.5616872302915, 133.5424608","33.5589892697085, 133.5339324"
63,7800032,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶｶﾞﾉｲ,高知県,高知市,加賀野井,"33.5802031, 133.5258385","33.5823891, 133.5296758","33.5769405, 133.5227674"
64,7813104,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶｶﾞﾐｲﾏｲ,高知県,高知市,鏡今井,"33.6298354, 133.4668878","33.6614674, 133.4823498","33.60178210000001, 133.4561634"
65,7813124,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶｶﾞﾐｳﾒﾉｷ,高知県,高知市,鏡梅ノ木,"33.5917861, 133.4187128","33.6036603, 133.4358877","33.5827394, 133.4009042"
66,7813101,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶｶﾞﾐｵｵｶﾞﾁ,高知県,高知市,鏡大河内,"33.5847348, 133.4765172","33.5929374, 133.4860874","33.5772029, 133.4726279"
67,7813103,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶｶﾞﾐｵｵﾘ,高知県,高知市,鏡大利,"33.6077883, 133.4861447","33.624559, 133.4942047","33.5979242, 133.4730032"
68,7813115,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶｶﾞﾐｶｷﾉﾏﾀ,高知県,高知市,鏡柿ノ又,"33.6472166, 133.4114825","33.6611136, 133.427337","33.6294236, 133.3990609"
69,7813123,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶｶﾞﾐｶｽﾞﾗﾔﾏ,高知県,高知市,鏡葛山,"33.5962342, 133.4319656","33.6031772, 133.4376718","33.59153800000001, 133.4266233"
70,7813107,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶｶﾞﾐｶﾘﾔﾏ,高知県,高知市,鏡狩山,"33.6361491, 133.4524402","33.6530678, 133.4651859","33.6210151, 133.4433648"
71,7813105,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶｶﾞﾐｸｻﾐﾈ,高知県,高知市,鏡草峰,"33.6113265, 133.4572566","33.6177832, 133.4696087","33.6019564, 133.4410905"
72,7813102,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶｶﾞﾐｺﾊﾏ,高知県,高知市,鏡小浜,"33.5938231, 133.4765172","33.6032495, 133.4854308","33.5898922, 133.465575"
73,7813125,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶｶﾞﾐｺﾔﾏ,高知県,高知市,鏡小山,"33.5822526, 133.4223276","33.5874596, 133.4323058","33.5758386, 133.4128974"
74,7813112,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶｶﾞﾐｻﾙｻｶ,高知県,高知市,鏡去坂,"33.5997966, 133.4524402","33.6066131, 133.4644387","33.592319, 133.4416714"
75,7813114,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶｶﾞﾐｼｷﾉﾔﾏ,高知県,高知市,鏡敷ノ山,"33.6317495, 133.407867","33.6402614, 133.4312363","33.6292157, 133.4037986"
76,7813106,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶｶﾞﾐｼﾛｲﾜ,高知県,高知市,鏡白岩,"33.6204143, 133.4572566","33.6255726, 133.4623358","33.615179, 133.4442536"
77,7813113,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶｶﾞﾐﾀｹﾅﾛ,高知県,高知市,鏡竹奈路,"33.6187922, 133.4271468","33.6257106, 133.443081","33.6108321, 133.4197694"
78,7813122,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶｶﾞﾐﾏｽﾊﾗ,高知県,高知市,鏡増原,"33.6033231, 133.4235324","33.6101921, 133.4348125","33.5953127, 133.4083307"
79,7813111,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶｶﾞﾐﾏﾄﾌﾞﾁ,高知県,高知市,鏡的渕,"33.6221819, 133.4428062","33.6323585, 133.4641569","33.6019474, 133.4242177"
80,7813121,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶｶﾞﾐﾖｺﾔ,高知県,高知市,鏡横矢,"33.6211661, 133.4138928","33.6425188, 133.446268","33.6023545, 133.39422"
81,7813108,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶｶﾞﾐﾖｼﾊﾗ,高知県,高知市,鏡吉原,"33.6527684, 133.4403973","33.6722437, 133.464785","33.6237631, 133.4135838"
82,7800933,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶｶﾞﾐｶﾞﾜﾁﾖｳ,高知県,高知市,鏡川町,"33.5531896, 133.5084012","33.5552834, 133.5099055","33.5521004, 133.501964"
83,7818121,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶﾂﾞﾗｼﾏ,高知県,高知市,葛島,"33.5556612, 133.571507","33.560199, 133.5752356","33.5520516, 133.5672653"
84,7800946,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶﾐﾎﾝｸﾞｳﾁﾖｳ,高知県,高知市,上本宮町,"33.5549554, 133.4939657","33.5582357, 133.4979564","33.5531937, 133.4881854"
85,7800901,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶﾐﾏﾁ,高知県,高知市,上町,"33.5562704, 133.5234337","33.5592404, 133.5273215","33.5536309, 133.5165819"
86,7808052,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶﾓﾍﾞ(ﾁﾖｳﾒ),高知県,高知市,鴨部（丁目）,"33.549392, 133.5053942","33.5545078, 133.5116708","33.541691, 133.495873"
87,7808050,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶﾓﾍﾞ(ｿﾉﾀ),高知県,高知市,鴨部（その他）,"33.549392, 133.5053942","33.5545078, 133.5116708","33.541691, 133.495873"
88,7808051,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶﾓﾍﾞｶﾐﾏﾁ,高知県,高知市,鴨部上町,"33.5509953, 133.4984773","33.5528862, 133.5012164","33.5487948, 133.4955966"
89,7808071,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶﾓﾍﾞﾀｶﾏﾁ,高知県,高知市,鴨部高町,"33.551784, 133.4966727","33.5539634, 133.4992714","33.5491019, 133.4947083"
90,7800994,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｶﾗｲﾜ,高知県,高知市,唐岩,"33.5767289, 133.4428062","33.5906962, 133.4573286","33.5672954, 133.4341727"
91,7810073,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｷﾀｶﾅﾀﾞ,高知県,高知市,北金田,"33.5663668, 133.5567896","33.56789368029149, 133.5587907","33.5651957197085, 133.5544959"
92,7810081,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｷﾀｶﾜｿﾞｴ,高知県,高知市,北川添,"33.5743261, 133.5612954","33.57591, 133.5646146","33.5725878, 133.5579616"
93,7810088,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｷﾀｸﾎﾞ,高知県,高知市,北久保,"33.571085, 133.5661011","33.574413, 133.5689905","33.5680959, 133.5633801"
94,7810083,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｷﾀｺﾞｻﾞ,高知県,高知市,北御座,"33.5686501, 133.5612954","33.5704625, 133.5640597","33.5676526, 133.5581174"
95,7818003,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｷﾀｼﾝﾀﾁﾖｳ,高知県,高知市,北新田町,"33.5527285, 133.5522833","33.5548854, 133.5552294","33.5507711, 133.5498682"
96,7800022,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｷﾀｼﾞﾝｾﾞﾝｼﾞ,高知県,高知市,北秦泉寺,"33.5891739, 133.5390627","33.5978062, 133.5449622","33.5808902, 133.5329254"
97,7808028,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｷﾀﾀｶﾐﾁﾖｳ,高知県,高知市,北高見町,"33.5467716, 133.5360575","33.5493409, 133.5396757","33.5432465, 133.5335401"
98,7808019,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｷﾀﾀｹｼﾏﾁﾖｳ,高知県,高知市,北竹島町,"33.5443625, 133.5402647","33.54756649999999, 133.5433648","33.5414213, 133.5374327"
99,7808026,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｷﾀﾅｶﾔﾏ,高知県,高知市,北中山,"33.539789, 133.5312488","33.5409524, 133.5388136","33.5347155, 133.5264418"
100,7800913,ｺｳﾁｹﾝ,ｺｳﾁｼ,ｷﾀﾊﾂﾀﾝﾁﾖｳ,高知県,高知市,北八反町,"33.5692554, 133.5232834","33.5703585302915, 133.5261872","33.5676605697085, 133.5207364"
